ma_can,dia_chi,quan,gia_thue_vnd,dien_tich_m2,tien_ich_xung_quanh
a7ff8179-ad4d-4a99-82a8-2c9b5d74fbc5,14A Phạm Văn Đồng,Bắc Từ Liêm,3100000,22,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Trung tâm thương mại; Sân tennis
7caaa605-f461-4353-982d-d5e689d8a340,679D Quang Trung,Hà Đông,6400000,35,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym
248744bf-28a9-4923-8dcb-72c871f9e78d,886C Phạm Văn Đồng,Bắc Từ Liêm,5300000,60,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô
e8c65b32-188e-4c22-a8fd-b245209eef06,815A Văn Quán,Hà Đông,5100000,69,Bãi đỗ xe ô tô; Bể bơi
7ce2e47c-f0c2-44c1-addf-fd25c4470705,564E Xuân Đỉnh,Bắc Từ Liêm,6900000,91,Chợ dân sinh; Trường học; Rạp chiếu phim
1d319129-e6dc-461b-9682-da4cbc4816ed,256D Xã Đàn,Đống Đa,3200000,48,Chợ dân sinh; Trường học; Bến xe buýt
ef96db96-8d38-4c14-80e4-651237fbb11a,22C Mỹ Đình,Nam Từ Liêm,3800000,31,Chợ dân sinh; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Rạp chiếu phim
a82ffc00-e513-478e-a9b2-a0920ecef2a7,102E Đông Ngạc,Bắc Từ Liêm,6100000,72,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bãi đỗ xe ô tô; Trung tâm thương mại; Bể bơi
0ec50d63-c455-4b5c-a368-d98da0725d47,188C Dịch Vọng Hậu,Cầu Giấy,4900000,31,Chợ dân sinh; Trung tâm thương mại
d8bc34c0-983f-45a9-a9b2-cf15da87499a,335B Phạm Hùng,Nam Từ Liêm,5100000,62,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại
55f8782c-2627-4052-a36b-c31808ee02e4,47A Kim Mã,Ba Đình,10200000,78,Chợ dân sinh; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim
5fa0a7d2-02f4-4f9a-9ae0-c550a783c316,383C Khương Trung,Thanh Xuân,10900000,102,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em
119c5321-9365-4b1c-b84c-73323b860331,948B Đội Cấn,Ba Đình,4900000,20,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Sân tennis
634e2cb1-70a0-457d-9224-d614ef1424fa,437C Giáp Bát,Hoàng Mai,7600000,22,Chợ dân sinh; Trường học; Siêu thị; Bệnh viện; Trung tâm thương mại; Sân tennis
118627e5-830a-40d2-890e-dc61ec254279,341A Dịch Vọng Hậu,Cầu Giấy,16100000,134,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim; Sân tennis
f241a900-1d51-4a8e-bd20-4c1263263da0,255C Việt Hưng,Long Biên,9400000,107,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
ef4637ce-ff87-46df-a142-fad50e02e328,144A Dịch Vọng Hậu,Cầu Giấy,15000000,117,Bến xe buýt; Công viên; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
d9ca5efd-335f-449d-aa2f-b0754c08eb8e,547A Trần Khát Chân,Hai Bà Trưng,9600000,145,Chợ dân sinh; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Bể bơi
35ec413d-fa0c-40cf-bdaa-f73720df108c,716B Yên Nghĩa,Hà Đông,6200000,117,Chợ dân sinh; Trường học; Bệnh viện; Bãi đỗ xe ô tô; Rạp chiếu phim
613f2550-5257-4b30-b7ba-a8c15c3719c6,895A Lê Đức Thọ,Nam Từ Liêm,9900000,120,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Rạp chiếu phim
fc11418d-966a-4127-816a-55db9e386ac6,277B Đông Ngạc,Bắc Từ Liêm,3400000,20,Bến xe buýt; Công viên; Bệnh viện; Trung tâm thương mại
627698cf-dd58-4c93-bcd7-fd67df33470e,853A Quang Trung,Hà Đông,7200000,34,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên
52054326-b13f-41a0-9d42-28b4648f3668,273B Kim Mã,Ba Đình,15400000,127,Siêu thị; Bến xe buýt; Công viên; Phòng gym; Rạp chiếu phim
83f62ff9-a2c0-49d3-a3ce-c3e2e234cc79,649B Dịch Vọng Hậu,Cầu Giấy,3800000,40,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym
461b0bdb-316c-4a8f-941c-9e1b0a2449a9,582B Nguyễn Khánh Toàn,Cầu Giấy,9100000,144,Trường học; Bến xe buýt; Công viên; Phòng gym; Bể bơi
23ff1d75-044c-4fc8-b38e-a2f41fb9398c,399D Bạch Mai,Hai Bà Trưng,6400000,96,Chợ dân sinh; Trường học; Phòng gym; Trung tâm thương mại
9ee8808a-3884-45cd-add6-33ce60e050d3,348B Bạch Mai,Hai Bà Trưng,14800000,100,Trường học; Siêu thị; Phòng gym; Trung tâm thương mại; Bể bơi
ae149e6c-df92-456a-9af9-287b2bbc0db6,216D Hàng Bài,Hoàn Kiếm,13200000,93,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Bể bơi; Sân tennis
7fe1f75d-7780-4ecc-8812-6cb15ad75a95,588E Ngọc Lâm,Long Biên,7900000,108,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
9b0be709-f0ab-4e5a-9188-8c9cee261211,534C Quang Trung,Hà Đông,8800000,96,Chợ dân sinh; Trường học; Siêu thị; Công viên; Phòng gym; Trung tâm thương mại; Bể bơi
023470f1-8609-44e5-bed1-32a7436473e5,966B Chùa Bộc,Đống Đa,14500000,108,Chợ dân sinh; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại; Bể bơi; Rạp chiếu phim; Sân tennis
6810d122-a28d-4567-8ae8-942a080a8415,745D Trần Duy Hưng,Cầu Giấy,14200000,125,Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại
8442f051-be02-42e9-9f03-100040afe7b9,261C Linh Đàm,Hoàng Mai,11400000,85,Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
15e8f470-1357-4404-b5ae-2884566fbc57,868B Nguyễn Thái Học,Ba Đình,14800000,95,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi
63f8ae21-2d17-40f8-a622-6f3af3378631,486E Quảng An,Tây Hồ,8800000,94,Trường học
e0f7aada-81f9-46af-956d-92a28655fbe8,504C Yên Nghĩa,Hà Đông,5300000,55,Chợ dân sinh; Bến xe buýt; Bãi đỗ xe ô tô
f685b1f8-90c8-4529-91dd-27df47206ba2,128A Nguyễn Thái Học,Ba Đình,14200000,119,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bể bơi; Sân tennis
c4fd491f-e8bf-4208-9909-ddad86979c08,89B Yên Nghĩa,Hà Đông,6400000,98,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
f69a0aeb-d9d2-4eba-9ef6-d472eb8743ab,756E Giáp Bát,Hoàng Mai,7600000,77,Chợ dân sinh; Siêu thị; Công viên; Trung tâm thương mại; Bể bơi; Rạp chiếu phim; Sân tennis
dad5fe76-7897-4c09-baf4-3c820f1e7ae4,307E Đông Ngạc,Bắc Từ Liêm,11000000,132,Chợ dân sinh; Trường học; Siêu thị; Công viên; Trung tâm thương mại; Rạp chiếu phim; Sân tennis
fdd798f7-faa8-4767-b057-b87d8d0ca545,640B Tây Sơn,Đống Đa,6100000,20,Chợ dân sinh; Trường học; Siêu thị; Bệnh viện; Bể bơi
4aa2584e-0418-42bf-a191-426d482b63e8,989E Đội Cấn,Ba Đình,9700000,131,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại
1e0afd23-3ac8-41f4-ba86-8b20fd02b471,684B Giáp Bát,Hoàng Mai,6200000,55,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Khu vui chơi trẻ em
1c64e8ca-8dfb-42c5-aff0-2b33ca592854,376A Quang Trung,Hà Đông,5300000,22,Chợ dân sinh; Bệnh viện; Phòng gym
7e60cdb5-a97f-4de5-a6b7-b3376b62f047,19C Nguyễn Văn Cừ,Long Biên,3000000,37,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên
e6268ea1-a8e0-4f7b-8c82-444b72d36e8f,333D Cổ Nhuế,Bắc Từ Liêm,10300000,106,Chợ dân sinh; Siêu thị; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Sân tennis
714f9f6d-0427-4d0b-a6e8-58d69f4e683b,853E Kim Ngưu,Hai Bà Trưng,4800000,77,Chợ dân sinh; Bến xe buýt; Bãi đỗ xe ô tô; Bể bơi
45200e62-f63c-4b4d-ab0f-b36bf2f52f8f,85B Xuân Đỉnh,Bắc Từ Liêm,3400000,37,Siêu thị; Công viên; Bệnh viện
7ef8ed6b-da92-41cb-bfa8-6bcd3ea8b1ec,384E Khương Trung,Thanh Xuân,4800000,49,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Phòng gym; Khu vui chơi trẻ em
15d50778-0c6b-478a-877d-814b4c9ac616,631B Phạm Văn Đồng,Bắc Từ Liêm,11500000,140,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Bể bơi
6accd499-2900-4e4e-b4e8-98357b213c3a,744C Kim Ngưu,Hai Bà Trưng,3500000,67,Trường học; Siêu thị; Bến xe buýt; Bể bơi; Rạp chiếu phim
e1bd23ec-5f40-461f-819d-5409bbbb205a,163C Dịch Vọng Hậu,Cầu Giấy,12300000,121,Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Sân tennis
9930bbbc-8443-4c75-80ee-15b3dc0a4931,966B Mỹ Đình,Nam Từ Liêm,5600000,86,Trường học; Trung tâm thương mại
df8cd12f-0ce8-4af6-ba9f-ed95ce092411,242A Láng Hạ,Đống Đa,6700000,84,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Khu vui chơi trẻ em
77dc4661-b28a-4cd4-8406-cb3580c56c9b,885E Lê Đức Thọ,Nam Từ Liêm,11500000,155,Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Bể bơi; Rạp chiếu phim
f8c1970f-2dbf-4a4b-afdb-277829fb07bc,947B Đội Cấn,Ba Đình,11700000,119,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại; Bể bơi
7196273d-16ee-4f15-b506-da0e45f77843,961A Khương Trung,Thanh Xuân,11100000,77,Bến xe buýt; Công viên; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Sân tennis
f1d6bacc-6421-4a38-aca6-0e024e9c0cce,598B Đại Mỗ,Nam Từ Liêm,3000000,51,Bến xe buýt; Sân tennis
5dc1f916-ebfb-421f-a480-de6966aacc5c,999C Quang Trung,Hà Đông,6200000,43,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim
a739d5c6-f9e3-4328-9ae9-8d6433202fca,79E Cổ Nhuế,Bắc Từ Liêm,8000000,95,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bệnh viện
f084dce8-49b2-4468-9258-d808a35ecc2a,518D Nguyễn Khánh Toàn,Cầu Giấy,14200000,66,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại; Sân tennis
00f3a47c-fa11-4fc9-8db7-618a001c1fda,185A Văn Quán,Hà Đông,2800000,20,Siêu thị; Bến xe buýt
ab3f4dee-792b-48de-a7be-4b7f158f44a4,272A Lê Văn Lương,Thanh Xuân,1700000,31,Chợ dân sinh; Bến xe buýt; Bệnh viện; Trung tâm thương mại
2d5ce5ad-b9e8-44ba-8d3c-6fbf320cbe5e,583B Xuân Thủy,Cầu Giấy,5500000,46,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Rạp chiếu phim
a0e70b80-6bea-4017-af8b-e22b249ce8b6,472D Tây Sơn,Đống Đa,9000000,112,Chợ dân sinh; Trường học; Siêu thị; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Sân tennis
b65918a8-bebd-4208-854b-d5797a7c7ea0,906D Dịch Vọng Hậu,Cầu Giấy,15700000,175,Chợ dân sinh; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Trung tâm thương mại
4dca9a6c-9d5a-403c-ae50-58b1e9331cb0,445E Tân Mai,Hoàng Mai,4700000,54,Chợ dân sinh; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Rạp chiếu phim
84f5347d-5383-4a72-aca3-49b6ed483981,409E Trần Duy Hưng,Cầu Giấy,3900000,21,Trường học; Bến xe buýt; Bệnh viện; Khu vui chơi trẻ em
83e87031-de85-4a3a-bd73-520d903af852,335D Bạch Mai,Hai Bà Trưng,10100000,73,Trường học; Siêu thị; Công viên; Rạp chiếu phim
df14b240-e3d5-4fe6-ab57-8786975a940e,691D Nguyễn Tuân,Thanh Xuân,2400000,20,Trường học; Công viên; Bệnh viện; Khu vui chơi trẻ em
d0b68ebb-8a7d-47c1-9707-5d3c365d9bb8,319C Giáp Bát,Hoàng Mai,9500000,123,Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Trung tâm thương mại
3d42e290-5420-4e41-acb1-723b98036e85,103D Định Công,Hoàng Mai,7500000,42,Chợ dân sinh; Trường học; Bãi đỗ xe ô tô; Trung tâm thương mại; Rạp chiếu phim; Sân tennis
a2da3e38-fcdb-4cb8-85af-ae4e45423b86,719C Lý Thường Kiệt,Hoàn Kiếm,3100000,58,Chợ dân sinh; Trường học; Bến xe buýt; Phòng gym
af7d7f6b-dddb-41d4-aa92-97146309c7fc,788A Phạm Văn Đồng,Bắc Từ Liêm,10500000,35,Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Trung tâm thương mại; Bể bơi; Sân tennis
0c23a4fd-3896-48e6-8df4-57f0a1c7cf3c,649C Trần Khát Chân,Hai Bà Trưng,15800000,200,Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim; Sân tennis
d2eb4a7e-1d1f-4bcd-88f8-a53adc7534a3,811B Nguyễn Trãi,Thanh Xuân,12800000,48,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Bể bơi
68d12ad7-faf1-4026-9bf0-ee51a74fdb46,114E Đại Mỗ,Nam Từ Liêm,7100000,111,Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại
086c102c-90d2-4187-b289-3053604efbec,222B Việt Hưng,Long Biên,10500000,114,Siêu thị; Bến xe buýt; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại
add2b94e-b8bf-4a9b-b0b0-c5b89e919bd5,20E Khương Trung,Thanh Xuân,6800000,70,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Khu vui chơi trẻ em; Trung tâm thương mại
119160e3-3663-4c9a-bb4e-6feee598de87,541C Nguyễn Khánh Toàn,Cầu Giấy,11900000,156,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại
4e8e1e4d-5d5b-4050-a873-b608e8f766fb,863A Nguyễn Văn Cừ,Long Biên,14900000,157,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Bể bơi
33c42328-faec-44a2-b617-ba7ba140ecdc,879A Liễu Giai,Ba Đình,16900000,183,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Phòng gym; Trung tâm thương mại
181045c8-2a72-4441-95b6-229e0e1fe253,644C Lê Đức Thọ,Nam Từ Liêm,3400000,77,Siêu thị; Bệnh viện
1fa22c3f-8cd7-4440-85f8-07320ea4d893,830D Giáp Bát,Hoàng Mai,12800000,114,Chợ dân sinh; Trường học; Siêu thị; Bệnh viện; Trung tâm thương mại; Bể bơi
c14c14be-a7b2-4a28-a387-042646bcfcda,424B Kim Ngưu,Hai Bà Trưng,7200000,48,Siêu thị; Bệnh viện; Bãi đỗ xe ô tô
2019e6ff-fb93-4b87-8b2b-74780f92cf54,688D Văn Quán,Hà Đông,6400000,42,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
1def59ad-ee50-4244-b6c0-4e63105eef37,113E Sài Đồng,Long Biên,7600000,82,Trường học; Siêu thị; Bến xe buýt; Phòng gym
d3b773b9-36c3-4333-8197-74b9ff5c2d67,219B Quảng An,Tây Hồ,8400000,34,Trường học; Bến xe buýt; Bệnh viện
b9928ae2-4ab0-4815-8831-9290d7522dd9,771A Lê Văn Lương,Thanh Xuân,6600000,47,Chợ dân sinh; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Sân tennis
e67acc2a-cc10-4877-be07-3f6e1763e694,221E Mộ Lao,Hà Đông,6600000,37,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bệnh viện; Phòng gym; Sân tennis
51d04182-3c52-43f1-a4f7-b4339f62b132,383C Nguyễn Tuân,Thanh Xuân,6200000,56,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Phòng gym; Bể bơi; Sân tennis
3bf6c886-6be4-4507-88af-01c1abc82ba9,493A Phạm Hùng,Nam Từ Liêm,12900000,76,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
00765f73-38a1-4b4f-9236-a57069cf459a,116D Trần Duy Hưng,Cầu Giấy,4500000,75,Trường học; Siêu thị; Bến xe buýt; Bệnh viện
050e05a9-ed95-4549-bff1-6414628443e0,241E Đông Ngạc,Bắc Từ Liêm,4700000,59,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Khu vui chơi trẻ em
3a89b3d1-46ab-44af-b725-e7d77294d134,829D Đông Ngạc,Bắc Từ Liêm,5600000,83,Siêu thị; Công viên; Bãi đỗ xe ô tô; Phòng gym
